SOURCE,BUSINESS NAME,COMPANIES HOUSE NO,INCORPORATION DATE,REGISTERED ADDRESS,POSTCODE,AREA,SIC CODES,SIC DESCRIPTION,PHYSICAL SHOP LIKELY?,NOTES,COMPANIES HOUSE URL
Editorial - Timeout,TATTY DEVINE,N/A,Established,"Brick Lane (original) + Seven Dials/Covent Garden",E1 / WC2H,Brick Lane / Covent Garden,N/A,Bold acrylic / personalised jewellery retail,Yes,Bold kitsch acrylic accessories; personalised name necklaces. Website: tattydevine.com,
Editorial - Timeout,SOLANGE AZAGURY-PARTRIDGE,N/A,Established,Bayswater,,Bayswater,N/A,Luxury jewellery retail,Yes,Exquisitely distinctive designs; pieces in V&A collection. Website: solange.co.uk,
Editorial - Timeout,TESSA METCALFE JEWELLERY,N/A,Established,Clerkenwell,,Clerkenwell,N/A,One-of-a-kind jewellery (appointment only),Yes,Bird claw castings in precious metals; appointment-only. Website: tessametcalfe.com,
Editorial - Timeout,ALEX MONROE,N/A,Established,"London Bridge + Covent Garden",SE1 / WC2,London Bridge / Covent Garden,N/A,Handmade nature-inspired jewellery retail,Yes,Signature golden bumble bee pendants. Website: alexmonroe.com,
Editorial - Timeout,EC ONE,N/A,Established (1990s),"41 Exmouth Market",EC1R 4QL,Clerkenwell,N/A,Multi-designer jewellery boutique,Yes,Stocks contemporary independent designers; annual Unsigned awards. Website: econe.co.uk,
Editorial - Timeout,RUBERG JEWELLERY,N/A,Established,"21 Camden Passage",N1 8EA,Islington,N/A,Minimalist Scandinavian-style jewellery,Yes,Stocks Yannis Sergakis, Kamilla Ruberg, Anna Osmer. Website: rubergjewellery.com,
Editorial - The Cut,OH BOSTON,N/A,Established,"24 Cheshire Street",E2 6EH,Bethnal Green,N/A,Handmade jewellery + homewares boutique,Yes,Owned by Michelle Oh and Rachel Boston; made on premises. Website: ohboston.co.uk,
Editorial - The Cut,PARLA,N/A,Established,"21 Boxpark, Shoreditch",E1 6GY,Shoreditch,N/A,Curated British designer fashion jewellery,Yes,Emphasises affordable British designers. Website: parla.co.uk,
Editorial - The Cut,ZOE & MORGAN,N/A,Established,"48 Chalcot Road, Primrose Hill",NW1 8LS,Primrose Hill,N/A,Handcrafted jewellery with geometric / spiritual aesthetic,Yes,Geometric edge with spiritual influences. Website: zoeandmorgan.com,
Editorial - South London Club,LILA'S JEWELLERY,N/A,Established,"117 Lordship Lane, East Dulwich",SE22 8HU,East Dulwich,N/A,Antique vintage and contemporary pre-owned jewellery,Yes,Specialises in pre-owned jewellery. Website: lilasjewels.co.uk,
Editorial - South London Club,JULIE NICAISSE JEWELLERY,N/A,Established,"401 Wandsworth Road",SW8 2JP,Stockwell / Battersea,N/A,Bespoke sustainable jewellery,Yes,Recycled materials + ethically sourced gemstones. Website: julienicaisse.com,
Editorial - South London Club,SAM UBHI,N/A,Established,"7 Bedford Hill, Balham",SW12 9ET,Balham,N/A,Vintage and contemporary jewellery boutique,Yes,Award-winning boutique with global selection. Website: samubhi.com,
Editorial - South London Club,FULL MOON DESIGNS,N/A,Established,"8 Brixton Village, First Avenue, Brixton",SW9 8PR,Brixton,N/A,Handmade gemstone and crystal jewellery,Yes,Located in Brixton Village market. Website: fullmoondesigns.co.uk,
Editorial - South London Club,SOLITAIRE JEWELLERS,N/A,Established,"127 High Street, Penge",SE20 7DS,Penge,N/A,Custom jewellery retail with on-site workshop,Yes,Family-run boutique with in-house workshop. Website: solitaire-jewellers.com,
Editorial - Country & Town House,ANNOUSHKA,N/A,Founded 2009 (Chelsea studio 2025+),"1 South Molton Street + 41 Cadogan Gardens",W1K / SW3,Mayfair / Chelsea,N/A,Luxury designer jewellery retail,Yes,Founded by Annoushka Ducas. Website: annoushka.com,
Editorial - Country & Town House,TOMFOOLERY,N/A,Current ownership since 2013,"109 Fortis Green Road, Muswell Hill",N10 3HP,Muswell Hill,N/A,Designer / engagement ring boutique,Yes,London's first stop for unusual engagement rings. Website: tomfoolerylondon.co.uk,
